PRODUCT_FULL_SEGMENTS_NUMBER,PRODUCT_NAME,PRODUCT_PACKAGE_DESCRIPTION,ITEM_NET_WEIGHT,COMPANY_COUNTRY,STATE,ONHANDQTY,EXPIREDQTY,BLOCKEDQTY,INTRANSITQTY,ONPOQTY,SOOTHER,POOTHER,SUPPLYOP,Q_SO,Q_SB,N30D_SO,TOTAL_DEMAND,ITEM_GROUP,STOCKINGTYPE,INVENTORYTYPE,VENDOR_NAME,LOCAL_PRODUCTMANAGER_NAME,PRODUCT_PRINCIPAL_NAME,INVENTORY_OWNERSHIP,BUYER_NAME,COO,LEADTIME,SHELFLIFE,MIN_DAYS,MAX_DAYS,IDEAL_PIPELINE,LEADTIMELEVEL,SHELFLIFEDAYS,MOQ,PALLET_SIZE,UNITSPERCONTAINER,H_ADU,FCST_TOTAL,UNITCOST,PERCENTAGE,F_ADU,SOH_DC,INTRANSIT_DC,ONPO_DC,NAT_SOH_DC,NAT_INTRANSIT_DC,NAT_ONPO_DC,ROW_NET_POSITION,NAT_NET_POSITION,NAT_PIPELINE_DC,ROW_PIPELINE_DC,RAW_ORDER_QTY,ORDER_QTY,ORDER_DC,STOCK_STATUS,ORDER_AMOUNT,OVERSTOCK_VALUE
441395BMP,TONSIL SUPREME 134FF,900 kg big bag,900.0,Australia,VIC,403200.000,0.000,20700.000,249300.000,522000.000,117000.000,0.000,771300.000,343800.000,117000.000,190800.000,460800.000,N1 - Non hazardous/Non dangerous,S,A,CLARIANT SOUTH EAST ASIA PTE LTD ,NATHAN SCHULTZ,CLARIANT AG ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",SG,90.00000,730.00000,30,60,150,90,730,18000.000,,18000,7641.97,10306.25,1.31,0.75,7747.74,24.74,32.18,67.37,30.83,29.43,57.37,693000.000,766800.000,117.63,124.29,0.00,0.0,0.0,Low Stock,0.0,0.00
441395BMP,TONSIL SUPREME 134FF,900 kg big bag,900.0,Australia,NSW,166500.000,0.000,900.000,54000.000,54000.000,0.000,0.000,108000.000,175500.000,0.000,65700.000,193500.000,N1 - Non hazardous/Non dangerous,S,A,CLARIANT SOUTH EAST ASIA PTE LTD ,NATHAN SCHULTZ,CLARIANT AG ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",SG,90.00000,730.00000,30,60,150,90,730,18000.000,,1,2009.08,10306.25,1.28,0.20,2036.89,49.05,26.51,26.51,30.83,29.43,57.37,98100.000,766800.000,117.63,102.07,97628.14,98100.0,48.16,Low Stock,125568.0,0.00
441395BMP,TONSIL SUPREME 134FF,900 kg big bag,900.0,Australia,WA,48600.000,0.000,0.000,0.000,15300.000,65700.000,0.000,15300.000,22500.000,65700.000,22500.000,88200.000,N1 - Non hazardous/Non dangerous,S,A,CLARIANT SOUTH EAST ASIA PTE LTD ,NATHAN SCHULTZ,CLARIANT AG ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",SG,90.00000,730.00000,30,60,150,90,730,0.000,,1,514.50,10306.25,1.43,0.05,521.62,50.04,0.00,29.33,30.83,29.43,57.37,-24300.000,766800.000,117.63,79.37,31297.20,31500.0,60.39,Low Stock,45045.0,0.00
438546BMR,MODIFIED STARCH PREPARATION,900 kg big bag,900.0,Australia,NSW,312300.000,11700.000,5400.000,162000.000,324000.000,693900.000,0.000,486000.000,90000.000,423900.000,90000.000,783900.000,N1 - Non hazardous/Non dangerous,S,C,STARCH PRODUCTS CO. LTD ,TANYA HARVEY,STARCH PRODUCTS CO ,61123 - AU Food - Nutrition F&N,"HAN, THIRI",TH,75.00000,365.00000,0,0,0,75,365,18000.000,,1,7222.72,7388.13,1.89,1.00,7388.13,27.77,21.93,43.85,27.77,21.93,43.85,267300.000,267300.000,93.55,93.55,0.00,0.0,0.0,Overstock,0.0,505197.00
5040320VR,SURFACTANT AEO7,20000 KG ISOTANK (BLC),1.0,Australia,NSW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,C,"SHANGHAI BINJIA INDUSTRIAL CO., LTD ","NGUYEN, KEN",IMCD AUSTRALIA LIMITED,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,60.00000,730.00000,0,0,0,60,730,20000.000,,1,1811.48,3874.80,3.08,1.00,3874.80,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,VIC,87000.000,0.000,0.000,0.000,90000.000,92001.000,0.000,90000.000,8000.000,92001.000,8000.000,100001.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,18000,1734.12,3691.85,3.46,0.52,1904.28,41.49,0.00,47.26,27.63,0.00,102.39,76999.000,296999.000,130.02,88.75,114256.80,115000.0,60.39,Healthy,397900.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,NSW,105000.000,0.000,0.000,0.000,216000.000,20000.000,0.000,216000.000,122000.000,20000.000,86000.000,143000.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,1,1421.54,3691.85,3.79,0.42,1561.03,12.17,0.00,138.37,27.63,0.00,102.39,179000.000,296999.000,130.02,150.54,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,QLD,7000.000,0.000,0.000,0.000,18000.000,0.000,0.000,18000.000,6000.000,0.000,3000.000,6000.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,1,94.02,3691.85,2.81,0.03,103.25,38.74,0.00,174.33,27.63,0.00,102.39,19000.000,296999.000,130.02,213.07,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,SA,0.000,0.000,0.000,0.000,36000.000,32000.000,0.000,36000.000,0.000,32000.000,0.000,32000.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,18000.000,,1,68.06,3691.85,2.43,0.02,74.74,0.00,0.00,481.67,27.63,0.00,102.39,4000.000,296999.000,130.02,481.67,0.00,0.0,0.0,Healthy,0.0,0.00
4394160VPRAY,PROPYLENE GLYCOL USP/EP (THAI),1000 kg IBC,1000.0,Australia,WA,0.000,0.000,0.000,0.000,18000.000,0.000,0.000,18000.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,A,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"SALLAS, FRANK",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",TH,90.00000,730.00000,30,60,150,90,730,0.000,,1,44.21,3691.85,2.87,0.01,48.55,0.00,0.00,370.75,27.63,0.00,102.39,18000.000,296999.000,130.02,370.75,0.00,0.0,0.0,Healthy,0.0,0.00
443081QBR,INFINEUM P6780,Bulk Container,1.0,Australia,VIC,78700.000,0.000,0.000,59230.000,78000.000,0.000,0.000,137230.000,214770.000,0.000,39160.000,214770.000,N1 - Non hazardous/Non dangerous,S,M,INFINEUM SINGAPORE LLP ,GARY HOLLINGSHED,INFINEUM INTERNATIONAL LTD.,61124 - AU Lubricants & Energy L&E,VIJAYA PAWAR,SG,35.00000,730.00000,30,60,95,35,730,19500.000,,1,2054.25,2290.59,7.41,1.00,2290.59,17.26,25.86,34.05,17.26,25.86,34.05,1160.000,1160.000,77.17,77.17,0.00,0.0,0.0,Healthy,0.0,0.00
4430818ZR,INFINEUM P6780,188 kg drum,188.0,Australia,VIC,6768.000,0.000,0.000,0.000,5264.000,0.000,0.000,5264.000,188.000,0.000,188.000,188.000,N1 - Non hazardous/Non dangerous,S,M,INFINEUM SINGAPORE LLP ,GARY HOLLINGSHED,INFINEUM INTERNATIONAL LTD.,61124 - AU Lubricants & Energy L&E,VIJAYA PAWAR,SG,35.00000,730.00000,30,60,95,35,730,4888.000,,1,114.32,2258.54,7.76,0.71,1607.70,4.09,0.00,3.27,2.91,0.00,2.33,11844.000,11844.000,5.24,7.36,96462.00,96632.0,60.11,Stockout Risk,749864.32,0.00
4430818ZR,INFINEUM P6780,188 kg drum,188.0,Australia,QLD,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,M,INFINEUM SINGAPORE LLP ,GARY HOLLINGSHED,INFINEUM INTERNATIONAL LTD.,61124 - AU Lubricants & Energy L&E,VIJAYA PAWAR,SG,35.00000,730.00000,30,60,95,35,730,4888.000,,1,46.28,2258.54,6.90,0.29,650.84,0.00,0.00,0.00,2.91,0.00,2.33,0.000,11844.000,5.24,0.00,39050.40,39104.0,60.08,Stockout Risk,269817.6,0.00
157474ALR,GLUCIDEX 19,25 kg bag,25.0,Australia,VIC,112750.000,0.000,750.000,36000.000,0.000,110500.000,0.000,36000.000,19500.000,110500.000,19500.000,130000.000,N1 - Non hazardous/Non dangerous,S,M,ROQUETTE SINGAPORE PTE LTD ,MANFRED CHUN,ROQUETTE FRERES ,61123 - AU Food - Nutrition F&N,"HAN, THIRI",FR,168.00000,1825.00000,30,60,228,168,1825,750.000,30.0000,1,1319.44,1668.74,3.10,1.00,1668.74,55.43,21.57,0.00,55.43,21.57,0.00,18000.000,18000.000,77.00,77.00,100124.40,100125.0,60.0,Stockout Risk,310387.5,0.00
5175150VR,TC CAB 35B,1000 kg box,1000.0,Australia,NSW,61000.000,0.000,0.000,8000.000,40000.000,6000.000,0.000,48000.000,0.000,6000.000,0.000,6000.000,D2 - Hazardous but NOT dangerous,S,A,GUANGZHOU TINCI MATERIALS TECH CO. LTD ,"SALLAS, FRANK",GUANGZHOU TINCI MATERIALS TECHNOLOGY ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,730.00000,30,60,135,75,730,4000.000,,1,844.06,1475.97,1.58,0.56,825.22,73.92,9.69,48.47,84.69,5.42,33.88,103000.000,144000.000,123.99,132.08,0.00,0.0,0.0,Healthy,0.0,0.00
5175150VR,TC CAB 35B,1000 kg box,1000.0,Australia,VIC,38000.000,0.000,0.000,0.000,10000.000,19000.000,0.000,10000.000,8000.000,19000.000,4000.000,27000.000,D2 - Hazardous but NOT dangerous,S,A,GUANGZHOU TINCI MATERIALS TECH CO. LTD ,"SALLAS, FRANK",GUANGZHOU TINCI MATERIALS TECHNOLOGY ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,730.00000,30,60,135,75,730,2000.000,,1,431.56,1475.97,1.56,0.29,421.93,80.58,0.00,23.70,84.69,5.42,33.88,21000.000,144000.000,123.99,104.28,12961.69,13000.0,30.81,Healthy,20280.0,0.00
5175150VR,TC CAB 35B,1000 kg box,1000.0,Australia,QLD,33000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13000.000,0.000,3000.000,13000.000,D2 - Hazardous but NOT dangerous,S,A,GUANGZHOU TINCI MATERIALS TECH CO. LTD ,"SALLAS, FRANK",GUANGZHOU TINCI MATERIALS TECHNOLOGY ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,730.00000,30,60,135,75,730,1000.000,,1,234.04,1475.97,1.35,0.16,228.82,131.11,0.00,0.00,84.69,5.42,33.88,20000.000,144000.000,123.99,131.11,0.00,0.0,0.0,Healthy,0.0,0.00
4422740VR,AMBERLITE HPR 1100 NA,141.5 lt drum,92.0,New Zealand,NZ,2547.000,0.000,283.000,0.000,0.000,0.000,0.000,0.000,2405.500,0.000,0.000,2405.500,N1 - Non hazardous/Non dangerous,S,C,DUPONT MEMCOR (AUSTRALIA) PTY LTD ,"GUIRADO-LOPEZ, DAVID",DUPONT DE NEMOURS INC,62121 - NZ Home Care I&I HC,"MICHALIK, KYAN",US,120.00000,3650.00000,0,0,0,120,3650,600.000,,1,0.00,1431.59,3.42,1.00,1431.59,1.58,0.00,0.00,1.58,0.00,0.00,-141.500,-141.500,1.58,1.58,141.50,644.0,0.45,Low Stock,2202.48,0.00
439706QBR,INFINEUM SV261L,Bulk Container,1.0,Australia,VIC,55090.000,0.000,0.000,55180.000,18500.000,0.000,0.000,73680.000,129090.000,0.000,18430.000,129090.000,N1 - Non hazardous/Non dangerous,S,M,INFINEUM SINGAPORE LLP ,GARY HOLLINGSHED,INFINEUM INTERNATIONAL LTD.,61124 - AU Lubricants & Energy L&E,VIJAYA PAWAR,KR,60.00000,730.00000,30,60,120,60,730,18500.000,,1,1200.22,1320.66,6.52,1.00,1320.66,27.76,41.78,14.01,27.76,41.78,14.01,-320.000,-320.000,83.55,83.55,48138.06,48139.0,36.45,Low Stock,313866.28,0.00
362870QBRGER,D.E.R. 331,22500 KG ISOTANK,1.0,Australia,VIC,52960.000,0.000,4860.000,48260.000,49000.000,0.000,0.000,97260.000,72320.000,0.000,72320.000,72320.000,D1 - Dangerous & hazardous product,S,M,BLUECUBE CHEMICALS HONG KONG LIMITED ,GRAEME VAN GREUNEN,OLIN CORPORATION,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,120.00000,720.00000,30,60,180,120,720,4669.000,,1,884.18,1284.22,3.45,0.95,1223.04,-19.80,39.46,40.06,-18.86,37.58,38.16,73040.000,73040.000,56.88,59.72,73382.40,73383.0,60.0,Stockout Risk,253171.35,0.00
362870QBRGER,D.E.R. 331,22500 KG ISOTANK,1.0,Australia,QLD,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D1 - Dangerous & hazardous product,S,M,BLUECUBE CHEMICALS HONG KONG LIMITED ,GRAEME VAN GREUNEN,OLIN CORPORATION,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,120.00000,720.00000,30,60,180,120,720,4669.000,,1,22.28,1284.22,2.99,0.02,30.82,0.00,0.00,0.00,-18.86,37.58,38.16,0.000,73040.000,56.88,0.00,1849.20,4669.0,151.49,Stockout Risk,13960.31,0.00
362870QBRGER,D.E.R. 331,22500 KG ISOTANK,1.0,Australia,NSW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D1 - Dangerous & hazardous product,S,M,BLUECUBE CHEMICALS HONG KONG LIMITED ,GRAEME VAN GREUNEN,OLIN CORPORATION,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,120.00000,720.00000,30,60,180,120,720,4669.000,,1,21.95,1284.22,,0.02,30.36,0.00,0.00,0.00,-18.86,37.58,38.16,0.000,73040.000,56.88,0.00,1821.60,4669.0,153.79,Stockout Risk,,0.00
443202BPP,PIALITE 515 K4191,300 kg big bag,300.0,Australia,VIC,99900.000,0.000,600.000,26400.000,79200.000,0.000,0.000,105600.000,10800.000,0.000,10800.000,10800.000,N1 - Non hazardous/Non dangerous,S,M,PT PERLITE INDONESIA ABADI ,"BARKACHI, JOSEPH",PT. PERLITE INDONESIA ABADI ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",ID,90.00000,1825.00000,30,60,150,90,1825,13200.000,,1,1219.28,1083.49,1.28,1.00,1083.49,81.68,24.37,73.10,81.68,24.37,73.10,194100.000,194100.000,179.15,179.15,0.00,0.0,0.0,Healthy,0.0,0.00
137552ALR,CLEARAM CH 20 20,25 kg bags,25.0,New Zealand,NZ,21025.000,0.000,25.000,36000.000,40000.000,0.000,0.000,76000.000,87000.000,0.000,21000.000,87000.000,N1 - Non hazardous/Non dangerous,S,A,ROQUETTE SINGAPORE LTD ,MANFRED CHUN,ROQUETTE FRERES ,62123 - NZ Food - Nutrition F&N,"HAN, THIRI",IT,168.00000,1800.00000,30,60,228,168,1800,19375.000,40.0000,21000,754.51,1075.94,0.92,1.00,1075.94,0.00,33.46,37.18,0.00,33.46,37.18,10000.000,10000.000,70.64,70.64,64556.40,64575.0,60.02,Stockout Risk,59409.0,0.00
477432CPR,GUARDMAX BKC50 RSPO,950 KG IBC,950.0,Australia,NSW,119700.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,93100.000,0.000,13300.000,119700.000,D1 - Dangerous & hazardous product,S,C,"SHANDONG TAIHE CHEMICALS CO.,LTD. ","SALLAS, FRANK",IMCD AUSTRALIA LIMITED,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,730.00000,0,0,0,75,730,3800.000,,1,332.60,1021.88,2.51,0.75,766.18,138.87,0.00,0.00,104.12,0.00,0.00,26600.000,26600.000,104.12,138.87,0.00,0.0,0.0,Overstock,0.0,66766.00
477432CPR,GUARDMAX BKC50 RSPO,950 KG IBC,950.0,Australia,VIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D1 - Dangerous & hazardous product,S,C,"SHANDONG TAIHE CHEMICALS CO.,LTD. ","SALLAS, FRANK",IMCD AUSTRALIA LIMITED,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,730.00000,0,0,0,75,730,3800.000,,1,111.00,1021.88,2.26,0.25,255.70,0.00,0.00,0.00,104.12,0.00,0.00,0.000,26600.000,104.12,0.00,0.00,0.0,0.0,Overstock,0.0,60116.00
461078QBR,INFINEUM P5005,QB - Bulk Item,19500.0,Australia,NSW,38580.000,0.000,0.000,0.000,39000.000,0.000,0.000,39000.000,77580.000,0.000,19320.000,77580.000,N1 - Non hazardous/Non dangerous,S,M,INFINEUM SINGAPORE LLP ,GARY HOLLINGSHED,INFINEUM INTERNATIONAL LTD.,61124 - AU Lubricants & Energy L&E,VIJAYA PAWAR,SG,60.00000,730.00000,30,60,120,60,730,19500.000,,1,1118.75,967.10,6.57,1.00,967.10,19.92,0.00,40.33,19.92,0.00,40.33,0.000,0.000,60.25,60.25,57784.23,58500.0,60.49,Low Stock,384345.0,0.00
4419020VR,DOWANOL DPM GLYCOL ETHER,960 kg IBC,960.0,Australia,NSW,40320.000,0.000,0.000,0.000,75840.000,3840.000,0.000,75840.000,71040.000,3840.000,34560.000,74880.000,D2 - Hazardous but NOT dangerous,S,B,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"GIOFTSIDIS, ZAC",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",AU,90.00000,730.00000,30,60,150,90,730,2880.000,,1,541.30,930.99,3.12,0.82,764.07,7.54,0.00,99.26,29.90,0.00,81.46,41280.000,62400.000,111.36,106.80,33007.82,33600.0,43.98,Low Stock,104832.0,0.00
4419020VR,DOWANOL DPM GLYCOL ETHER,960 kg IBC,960.0,Australia,VIC,11520.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3840.000,0.000,2880.000,3840.000,D2 - Hazardous but NOT dangerous,S,B,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"GIOFTSIDIS, ZAC",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",AU,90.00000,730.00000,30,60,150,90,730,960.000,,1,82.14,930.99,3.17,0.12,115.94,74.52,0.00,0.00,29.90,0.00,81.46,7680.000,62400.000,111.36,74.52,6956.40,7680.0,66.24,Low Stock,24345.6,0.00
4419020VR,DOWANOL DPM GLYCOL ETHER,960 kg IBC,960.0,Australia,WA,11520.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,B,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"GIOFTSIDIS, ZAC",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",AU,90.00000,730.00000,30,60,150,90,730,0.000,,1,19.43,930.99,2.58,0.03,27.43,419.98,0.00,0.00,29.90,0.00,81.46,11520.000,62400.000,111.36,419.98,0.00,0.0,0.0,Low Stock,0.0,0.00
4419020VR,DOWANOL DPM GLYCOL ETHER,960 kg IBC,960.0,Australia,QLD,3840.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1920.000,0.000,1920.000,1920.000,D2 - Hazardous but NOT dangerous,S,B,DOW CHEMICAL (AUSTRALIA) PTY LTD ,"GIOFTSIDIS, ZAC",DOW INC,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",AU,90.00000,730.00000,30,60,150,90,730,960.000,,1,16.68,930.99,3.17,0.03,23.54,81.56,0.00,0.00,29.90,0.00,81.46,1920.000,62400.000,111.36,81.56,1412.40,1920.0,81.56,Low Stock,6086.4,0.00
366812AJR,MIN-U-GEL 400,22.68 kg bag (50 lbs),22.68,Australia,NSW,136.080,0.000,90.720,24494.400,48988.800,14855.400,0.000,73483.200,44089.920,14855.400,0.000,58945.320,D2 - Hazardous but NOT dangerous,S,M,ACTIVE MINERALS INTERNATIONAL ,"DE LANGE, CHRISTO","ACTIVE MINERALS INTERNATIONAL LLC, AMI ",61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",US,150.00000,3600.00000,30,60,210,150,3600,1383.480,50.0000,1,464.75,908.21,0.57,0.50,454.33,0.10,53.91,107.83,0.37,53.94,188.89,14583.240,143246.880,243.20,161.84,0.00,0.0,0.0,High Stock,0.0,0.00
366812AJR,MIN-U-GEL 400,22.68 kg bag (50 lbs),22.68,Australia,VIC,294.840,0.000,0.000,0.000,73483.200,0.000,0.000,73483.200,8890.560,0.000,0.000,8890.560,D2 - Hazardous but NOT dangerous,S,M,ACTIVE MINERALS INTERNATIONAL ,"DE LANGE, CHRISTO","ACTIVE MINERALS INTERNATIONAL LLC, AMI ",61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",US,150.00000,3600.00000,30,60,210,150,3600,158.760,50.0000,1,252.60,908.21,1.49,0.27,246.94,1.19,0.00,297.58,0.37,53.94,188.89,64887.480,143246.880,243.20,298.77,0.00,0.0,0.0,High Stock,0.0,0.00
366812AJR,MIN-U-GEL 400,22.68 kg bag (50 lbs),22.68,Australia,SA,90.720,0.000,0.000,0.000,24585.120,0.000,0.000,24585.120,90.720,0.000,90.720,90.720,D2 - Hazardous but NOT dangerous,S,M,ACTIVE MINERALS INTERNATIONAL ,"DE LANGE, CHRISTO","ACTIVE MINERALS INTERNATIONAL LLC, AMI ",61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",US,150.00000,3600.00000,30,60,210,150,3600,1383.480,50.0000,1,211.69,908.21,2.16,0.23,206.94,0.00,0.00,118.80,0.37,53.94,188.89,24585.120,143246.880,243.20,118.80,0.00,0.0,0.0,High Stock,0.0,0.00
366812AJR,MIN-U-GEL 400,22.68 kg bag (50 lbs),22.68,Australia,QLD,0.000,0.000,0.000,24494.400,24494.400,0.000,0.000,48988.800,9797.760,0.000,0.000,9797.760,D2 - Hazardous but NOT dangerous,S,M,ACTIVE MINERALS INTERNATIONAL ,"DE LANGE, CHRISTO","ACTIVE MINERALS INTERNATIONAL LLC, AMI ",61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",US,150.00000,3600.00000,30,60,210,150,3600,476.280,50.0000,1,0.00,908.21,1.83,0.00,0.00,0.00,0.00,0.00,0.37,53.94,188.89,39191.040,143246.880,243.20,0.00,0.00,0.0,0.0,High Stock,0.0,0.00
362870E1RGER,D.E.R. 331,240 kg drum,240.0,Australia,NSW,35520.000,0.000,0.000,0.000,38400.000,43680.000,0.000,38400.000,8400.000,43680.000,8400.000,52080.000,D1 - Dangerous & hazardous product,S,A,BLUECUBE CHEMICALS HONG KONG LIMITED ,GRAEME VAN GREUNEN,OLIN CORPORATION,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,120.00000,720.00000,30,60,180,120,720,960.000,,1,320.88,856.07,3.64,0.58,496.90,54.58,0.00,77.28,31.96,22.43,112.14,21840.000,63120.000,166.53,131.86,23920.77,24000.0,48.3,Healthy,87360.0,0.00
362870E1RGER,D.E.R. 331,240 kg drum,240.0,Australia,VIC,240.000,0.000,0.000,0.000,57600.000,19200.000,0.000,57600.000,0.000,19200.000,0.000,19200.000,D1 - Dangerous & hazardous product,S,A,BLUECUBE CHEMICALS HONG KONG LIMITED ,GRAEME VAN GREUNEN,OLIN CORPORATION,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,120.00000,720.00000,30,60,180,120,720,960.000,,1,175.05,856.07,3.60,0.32,271.07,0.89,0.00,212.49,31.96,22.43,112.14,38640.000,63120.000,166.53,213.38,0.00,0.0,0.0,Healthy,0.0,0.00
362870E1RGER,D.E.R. 331,240 kg drum,240.0,Australia,WA,0.000,0.000,0.000,19200.000,0.000,16320.000,0.000,19200.000,240.000,16320.000,0.000,16560.000,D1 - Dangerous & hazardous product,S,A,BLUECUBE CHEMICALS HONG KONG LIMITED ,GRAEME VAN GREUNEN,OLIN CORPORATION,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,120.00000,720.00000,30,60,180,120,720,0.000,,1,56.89,856.07,3.50,0.10,88.10,0.00,217.93,0.00,31.96,22.43,112.14,2640.000,63120.000,166.53,217.93,0.00,0.0,0.0,Healthy,0.0,0.00
4398230VP,DISSOLVINE GL-47-S (BIODEGRADABLE),1250 kg IBC,1250.0,Australia,NSW,175000.000,0.000,0.000,0.000,0.000,100000.000,0.000,0.000,23750.000,100000.000,23750.000,123750.000,D1 - Dangerous & hazardous product,S,A,"NOURYON CHEMICALS(NINGBO)CO.,LTD ",SONYA ATKINSON,NOURYON ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,90.00000,1095.00000,30,60,150,90,1095,5000.000,,1,949.07,818.43,1.74,0.96,785.97,192.44,0.00,0.00,184.81,0.00,6.11,51250.000,56250.000,190.92,192.44,0.00,0.0,0.0,High Stock,0.0,0.00
4398230VP,DISSOLVINE GL-47-S (BIODEGRADABLE),1250 kg IBC,1250.0,Australia,VIC,0.000,0.000,0.000,0.000,5000.000,0.000,0.000,5000.000,0.000,0.000,0.000,0.000,D1 - Dangerous & hazardous product,S,A,"NOURYON CHEMICALS(NINGBO)CO.,LTD ",SONYA ATKINSON,NOURYON ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,90.00000,1095.00000,30,60,150,90,1095,5000.000,,1,23.09,818.43,2.03,0.02,19.12,0.00,0.00,261.51,184.81,0.00,6.11,5000.000,56250.000,190.92,261.51,0.00,0.0,0.0,High Stock,0.0,0.00
4398230VP,DISSOLVINE GL-47-S (BIODEGRADABLE),1250 kg IBC,1250.0,Australia,WA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D1 - Dangerous & hazardous product,S,A,"NOURYON CHEMICALS(NINGBO)CO.,LTD ",SONYA ATKINSON,NOURYON ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,90.00000,1095.00000,30,60,150,90,1095,5000.000,,1,16.11,818.43,1.75,0.02,13.34,0.00,0.00,0.00,184.81,0.00,6.11,0.000,56250.000,190.92,0.00,0.00,0.0,0.0,High Stock,0.0,0.00
