PRODUCT_FULL_SEGMENTS_NUMBER,PRODUCT_NAME,PRODUCT_PACKAGE_DESCRIPTION,ITEM_NET_WEIGHT,COMPANY_COUNTRY,STATE,ONHANDQTY,EXPIREDQTY,BLOCKEDQTY,INTRANSITQTY,ONPOQTY,SOOTHER,POOTHER,SUPPLYOP,Q_SO,Q_SB,N30D_SO,TOTAL_DEMAND,ITEM_GROUP,STOCKINGTYPE,INVENTORYTYPE,VENDOR_NAME,LOCAL_PRODUCTMANAGER_NAME,PRODUCT_PRINCIPAL_NAME,INVENTORY_OWNERSHIP,BUYER_NAME,COO,LEADTIME,SHELFLIFE,MIN_DAYS,MAX_DAYS,IDEAL_PIPELINE,LEADTIMELEVEL,SHELFLIFEDAYS,MOQ,PALLET_SIZE,UNITSPERCONTAINER,H_ADU,FCST_TOTAL,UNITCOST,PERCENTAGE,F_ADU,SOH_DC,INTRANSIT_DC,ONPO_DC,NAT_SOH_DC,NAT_INTRANSIT_DC,NAT_ONPO_DC,ROW_NET_POSITION,NAT_NET_POSITION,NAT_PIPELINE_DC,ROW_PIPELINE_DC,RAW_ORDER_QTY,ORDER_QTY,ORDER_DC,STOCK_STATUS,ORDER_AMOUNT,OVERSTOCK_VALUE
201536CSR,NEOCRYL XK-110,1050 kg Container,1050.0,Australia,NSW,1050.000,0.000,0.000,1050.000,0.000,0.000,0.000,1050.000,3150.000,0.000,0.000,3150.000,N1 - Non hazardous/Non dangerous,S,M,COVESTRO PTY LTD ,GRAEME VAN GREUNEN,COVESTRO ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",NL,150.00000,274.00000,30,60,210,150,274,1050.000,1.0000,1,19.36,17.98,5.21,0.71,12.84,81.78,81.78,0.00,58.40,233.59,0.00,-1050.000,2100.000,291.99,163.56,0.00,0.0,0.0,Overstock,0.0,-1099.78
201536CSR,NEOCRYL XK-110,1050 kg Container,1050.0,Australia,VIC,0.000,0.000,0.000,3150.000,0.000,0.000,0.000,3150.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,M,COVESTRO PTY LTD ,GRAEME VAN GREUNEN,COVESTRO ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",NL,150.00000,274.00000,30,60,210,150,274,1050.000,1.0000,1,7.75,17.98,5.21,0.29,5.14,0.00,612.84,0.00,58.40,233.59,0.00,3150.000,2100.000,291.99,612.84,0.00,0.0,0.0,Overstock,0.0,11591.20
521412AIR,PALMFONATE 6909F RSPO MB,20 kg bag,20.0,Australia,NSW,140.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,B,KL-KEPONG OLEOMAS SDN BHD ,SONYA ATKINSON,KLK OLEO  (KUALA LUMPUR KEPONG BERHAD),61121 - AU Home Care I&I HC,"MICHALIK, KYAN",MY,90.00000,730.00000,30,60,150,90,730,560.000,,1,32.93,17.97,2.35,0.87,15.63,8.96,0.00,0.00,37.82,1245.83,1058.95,140.000,20560.000,2342.60,8.96,0.00,0.0,0.0,Overstock,0.0,-4078.55
521412AIR,PALMFONATE 6909F RSPO MB,20 kg bag,20.0,Australia,VIC,560.000,0.000,0.000,22400.000,11200.000,20160.000,0.000,33600.000,1420.000,20160.000,20.000,21580.000,D2 - Hazardous but NOT dangerous,S,B,KL-KEPONG OLEOMAS SDN BHD ,SONYA ATKINSON,KLK OLEO  (KUALA LUMPUR KEPONG BERHAD),61121 - AU Home Care I&I HC,"MICHALIK, KYAN",MY,90.00000,730.00000,30,60,150,90,730,560.000,,1,3.62,17.97,2.58,0.10,1.72,313.95,13023.26,6511.63,37.82,1245.83,1058.95,12580.000,20560.000,2342.60,19848.84,0.00,0.0,0.0,Overstock,0.0,87548.70
521412AIR,PALMFONATE 6909F RSPO MB,20 kg bag,20.0,Australia,QLD,0.000,0.000,0.000,0.000,7840.000,0.000,0.000,7840.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,B,KL-KEPONG OLEOMAS SDN BHD ,SONYA ATKINSON,KLK OLEO  (KUALA LUMPUR KEPONG BERHAD),61121 - AU Home Care I&I HC,"MICHALIK, KYAN",MY,90.00000,730.00000,30,60,150,90,730,560.000,,1,1.32,17.97,2.69,0.03,0.63,0.00,0.00,12444.44,37.82,1245.83,1058.95,7840.000,20560.000,2342.60,12444.44,0.00,0.0,0.0,Overstock,0.0,20886.23
461016QBR,INFINEUM D3504L,19500 kg Bulk,19500.0,Australia,VIC,19510.000,0.000,0.000,19750.000,0.000,0.000,0.000,19750.000,39010.000,0.000,19510.000,39010.000,D2 - Hazardous but NOT dangerous,S,C,INFINEUM SINGAPORE LLP ,GARY HOLLINGSHED,INFINEUM INTERNATIONAL LTD.,61124 - AU Lubricants & Energy L&E,VIJAYA PAWAR,SG,75.00000,730.00000,0,0,0,75,730,0.000,,1,127.11,17.95,9.10,1.00,17.95,0.00,1100.28,0.00,0.00,1100.28,0.00,250.000,250.000,1100.28,1100.28,0.00,0.0,0.0,Overstock,0.0,2275.00
4687810VR,SC-B210 R CLEAR I160X0.76X0230 W05V 368M2 BF011372,368 M2 Box,368.0,Australia,QLD,0.000,0.000,0.000,1104.000,1104.000,0.000,0.000,2208.000,2208.000,0.000,0.000,2208.000,N1 - Non hazardous/Non dangerous,S,C,KURARAY KOREA LTD ,NEIL CLIFFORD,KURARAY ,61125 - AU Advanced Materials AM,VIJAYA PAWAR,DE,90.00000,1095.00000,0,0,0,90,1095,368.000,,1,16.27,17.93,13.02,1.00,17.93,0.00,61.57,61.57,0.00,61.57,61.57,0.000,0.000,123.14,123.14,0.00,0.0,0.0,Healthy,0.0,0.00
278186ALR,CLEARGUM LG 7015,25 kg bag,25.0,New Zealand,NZ,6000.000,0.000,50.000,0.000,0.000,3600.000,0.000,0.000,2150.000,3600.000,350.000,5750.000,N1 - Non hazardous/Non dangerous,S,M,ROQUETTE SINGAPORE LTD ,MANFRED CHUN,ROQUETTE FRERES ,62123 - NZ Food - Nutrition F&N,"HAN, THIRI",FR,168.00000,1825.00000,30,60,228,168,1825,150.000,40.0000,1,17.69,17.86,2.57,1.00,17.86,313.55,0.00,0.00,313.55,0.00,0.00,200.000,200.000,313.55,313.55,0.00,0.0,0.0,Overstock,0.0,5303.77
4386573XP,EKWIP U15 18.2X13.4,2000 unit box,10.0,Australia,VIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,F,IMCD AUSTRALIA PTY LTD ,NATHAN SCHULTZ,IMCD AUSTRALIA LIMITED,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",AU,21.00000,1825.00000,0,0,0,21,1825,80.000,,1,12.94,17.81,0.19,0.88,15.60,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,0.0,0.00
4386573XP,EKWIP U15 18.2X13.4,2000 unit box,10.0,Australia,NSW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,F,IMCD AUSTRALIA PTY LTD ,NATHAN SCHULTZ,IMCD AUSTRALIA LIMITED,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",AU,21.00000,1825.00000,0,0,0,21,1825,80.000,,1,1.83,17.81,,0.12,2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,,0.00
372733EIR,IMUTHANE 22-90A,210 kg drum,210.0,Australia,QLD,840.000,0.000,0.000,0.000,840.000,0.000,0.000,840.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,M,COIM ASIA PACIFIC PTE LTD ,"CIGANKOVA, NIKOLA",COIM GROUP,61125 - AU Advanced Materials AM,VIJAYA PAWAR,SG,90.00000,999.00000,30,60,150,90,999,840.000,,1,10.84,17.77,7.49,1.00,17.77,47.27,0.00,47.27,94.54,0.00,47.27,1680.000,2520.000,141.81,94.54,985.52,1050.0,59.09,Healthy,7864.5,0.00
372733EIR,IMUTHANE 22-90A,210 kg drum,210.0,Australia,NSW,840.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,M,COIM ASIA PACIFIC PTE LTD ,"CIGANKOVA, NIKOLA",COIM GROUP,61125 - AU Advanced Materials AM,VIJAYA PAWAR,SG,90.00000,999.00000,30,60,150,90,999,840.000,,1,0.00,17.77,7.94,0.00,0.00,0.00,0.00,0.00,94.54,0.00,47.27,840.000,2520.000,141.81,0.00,0.00,0.0,0.0,Healthy,0.0,0.00
2035080VR,ELASTOSIL R 401/40 S,540 kg carton,540.0,Australia,NSW,2160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,B,WACKER CHEMICAL CORPORATION ,"CIGANKOVA, NIKOLA",WACKER ,61125 - AU Advanced Materials AM,VIJAYA PAWAR,US,120.00000,730.00000,30,60,180,120,730,540.000,,1,17.93,17.74,8.34,0.86,15.21,142.01,0.00,0.00,121.76,273.96,1248.03,2160.000,8640.000,1643.75,142.01,0.00,0.0,0.0,Overstock,0.0,-1013.54
2035080VR,ELASTOSIL R 401/40 S,540 kg carton,540.0,Australia,VIC,0.000,0.000,0.000,4860.000,22140.000,19980.000,0.000,27000.000,540.000,19980.000,0.000,20520.000,N1 - Non hazardous/Non dangerous,S,B,WACKER CHEMICAL CORPORATION ,"CIGANKOVA, NIKOLA",WACKER ,61125 - AU Advanced Materials AM,VIJAYA PAWAR,US,120.00000,730.00000,30,60,180,120,730,540.000,,1,2.98,17.74,8.12,0.14,2.53,0.00,1920.95,8750.99,121.76,273.96,1248.03,6480.000,8640.000,1643.75,10671.94,0.00,0.0,0.0,Overstock,0.0,216158.53
350098QTR,BJO-0930,12 kg carton,12.0,New Zealand,NZ,1200.000,0.000,0.000,0.000,1920.000,0.000,0.000,1920.000,384.000,0.000,384.000,384.000,N1 - Non hazardous/Non dangerous,S,A,MALAYAN ADHESIVES AND CHEMICALS SDN BHD ,"BOWLES, CRAIG",MALAYAN ADHESIVES AND CHEMICALS SDN BHD ,62125 - NZ Advanced Materials AM,VIJAYA PAWAR,MY,60.00000,720.00000,30,60,120,60,720,1920.000,8.0000,1,17.65,17.60,36.17,1.00,17.60,46.36,0.00,109.09,46.36,0.00,109.09,2736.000,2736.000,155.45,155.45,0.00,0.0,0.0,High Stock,0.0,0.00
456888AIR,METHOCEL 240S,20 KG bag,20.0,Australia,VIC,20.000,0.000,0.000,0.000,4800.000,0.000,0.000,4800.000,60.000,0.000,20.000,60.000,N1 - Non hazardous/Non dangerous,S,B,NUTRITION & BIOSCIENCES AUSTRALIA P/L ,"ALIZADEH, KIMIA",ROQUETTE FRERES ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,200.00000,762.00000,30,60,260,200,762,4000.000,,1,11.76,17.57,11.57,0.65,11.50,0.00,0.00,417.39,173.02,0.00,364.26,4760.000,9360.000,537.28,417.39,0.00,0.0,0.0,Overstock,0.0,24933.18
