PRODUCT_FULL_SEGMENTS_NUMBER,PRODUCT_NAME,PRODUCT_PACKAGE_DESCRIPTION,ITEM_NET_WEIGHT,COMPANY_COUNTRY,STATE,ONHANDQTY,EXPIREDQTY,BLOCKEDQTY,INTRANSITQTY,ONPOQTY,SOOTHER,POOTHER,SUPPLYOP,Q_SO,Q_SB,N30D_SO,TOTAL_DEMAND,ITEM_GROUP,STOCKINGTYPE,INVENTORYTYPE,VENDOR_NAME,LOCAL_PRODUCTMANAGER_NAME,PRODUCT_PRINCIPAL_NAME,INVENTORY_OWNERSHIP,BUYER_NAME,COO,LEADTIME,SHELFLIFE,MIN_DAYS,MAX_DAYS,IDEAL_PIPELINE,LEADTIMELEVEL,SHELFLIFEDAYS,MOQ,PALLET_SIZE,UNITSPERCONTAINER,H_ADU,FCST_TOTAL,UNITCOST,PERCENTAGE,F_ADU,SOH_DC,INTRANSIT_DC,ONPO_DC,NAT_SOH_DC,NAT_INTRANSIT_DC,NAT_ONPO_DC,ROW_NET_POSITION,NAT_NET_POSITION,NAT_PIPELINE_DC,ROW_PIPELINE_DC,RAW_ORDER_QTY,ORDER_QTY,ORDER_DC,STOCK_STATUS,ORDER_AMOUNT,OVERSTOCK_VALUE
169542AFR,MELFLUX 2651 F,15 kg bag,15.0,Australia,VIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,B,BASF CONSTRUCTION ADDITIVES GMBH ,"ELAURIA, ARWIN",BASF SE ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,150.00000,360.00000,30,60,210,150,360,750.000,,1,57.11,70.77,15.31,0.55,38.80,0.00,0.00,0.00,40.27,381.52,105.98,0.000,1845.000,527.77,0.00,0.00,0.0,0.0,Overstock,0.0,-106925.04
169542AFR,MELFLUX 2651 F,15 kg bag,15.0,Australia,NSW,3600.000,0.000,0.000,27000.000,7500.000,35505.000,0.000,34500.000,750.000,35505.000,750.000,36255.000,N1 - Non hazardous/Non dangerous,S,B,BASF CONSTRUCTION ADDITIVES GMBH ,"ELAURIA, ARWIN",BASF SE ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,150.00000,360.00000,30,60,210,150,360,750.000,,1,47.06,70.77,17.47,0.45,31.97,89.15,844.54,234.59,40.27,381.52,105.98,1845.000,1845.000,527.77,1168.28,0.00,0.0,0.0,Overstock,0.0,551970.09
422554ALR,GELCARIN FF 44,25 KG BAG,25.0,Australia,NSW,7925.000,0.000,125.000,0.000,8000.000,1200.000,0.000,8000.000,2500.000,1200.000,800.000,3700.000,D2 - Hazardous but NOT dangerous,S,A,"INTERNATIONAL N&H USA, INC. ",MANFRED CHUN,I.F.F. - INTERN. FLAVOURS & FRAGRANCES ,61123 - AU Food - Nutrition F&N,"HAN, THIRI",US,120.00000,720.00000,30,60,180,120,720,5000.000,,1,44.67,70.64,20.36,0.85,59.72,117.21,0.00,133.96,168.46,0.00,113.25,12100.000,13875.000,281.71,251.17,0.00,0.0,0.0,Overstock,0.0,123012.52
422554ALR,GELCARIN FF 44,25 KG BAG,25.0,Australia,VIC,5400.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3625.000,0.000,500.000,3625.000,D2 - Hazardous but NOT dangerous,S,A,"INTERNATIONAL N&H USA, INC. ",MANFRED CHUN,I.F.F. - INTERN. FLAVOURS & FRAGRANCES ,61123 - AU Food - Nutrition F&N,"HAN, THIRI",US,120.00000,720.00000,30,60,180,120,720,5000.000,,1,8.17,70.64,20.47,0.15,10.92,448.72,0.00,0.00,168.46,0.00,113.25,1775.000,13875.000,281.71,448.72,0.00,0.0,0.0,Overstock,0.0,66773.60
438534JJR,HVP C-379 (HYDROLYSED VEGE PROTEIN),22.68 kg Carton,22.68,New Zealand,NZ,8981.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6531.840,0.000,1632.960,8981.280,N1 - Non hazardous/Non dangerous,S,C,BASIC FOOD FLAVORS ,TANYA HARVEY,FLAVOR CONSULTANTS INC.,62123 - NZ Food - Nutrition F&N,"HAN, THIRI",US,75.00000,730.00000,0,0,0,75,730,816.480,,8981,69.25,70.20,9.16,1.00,70.20,104.68,0.00,0.00,104.68,0.00,0.00,2449.440,2449.440,104.68,104.68,0.00,0.0,0.0,Overstock,0.0,22436.87
478738CRR,TC CAO 30 RSPO MB,1000 kg IBC,1000.0,Australia,NSW,8000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8000.000,0.000,4000.000,8000.000,D2 - Hazardous but NOT dangerous,S,C,GUANGZHOU TINCI MATERIALS TECH CO. LTD ,"SALLAS, FRANK",GUANGZHOU TINCI MATERIALS TECHNOLOGY ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,730.00000,0,0,0,75,730,4000.000,,1,46.10,69.91,1.95,1.00,69.91,57.22,0.00,0.00,85.82,0.00,0.00,0.000,2000.000,85.82,57.22,0.00,0.0,0.0,Overstock,0.0,3900.00
478738CRR,TC CAO 30 RSPO MB,1000 kg IBC,1000.0,Australia,VIC,2000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,C,GUANGZHOU TINCI MATERIALS TECH CO. LTD ,"SALLAS, FRANK",GUANGZHOU TINCI MATERIALS TECHNOLOGY ,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,730.00000,0,0,0,75,730,4000.000,,1,0.00,69.91,1.55,0.00,0.00,0.00,0.00,0.00,85.82,0.00,0.00,2000.000,2000.000,85.82,0.00,0.00,0.0,0.0,Overstock,0.0,3100.00
443262BRP,PREJEL VA 70,650 kg big bag,650.0,Australia,VIC,6500.000,0.000,0.000,0.000,11700.000,0.000,0.000,11700.000,9100.000,0.000,1300.000,18850.000,N1 - Non hazardous/Non dangerous,S,C,COOPERATIE KONINKLIJKE AVEBE U.A. ,GWENDOLINE CROTHERS,AVEBE ,61123 - AU Food - Nutrition F&N,"HAN, THIRI",SE,150.00000,1460.00000,0,0,0,150,1460,650.000,,1,77.90,69.21,4.41,1.00,69.21,75.13,0.00,169.05,75.13,0.00,169.05,9100.000,9100.000,244.18,244.18,0.00,0.0,0.0,Overstock,0.0,40131.00
198216ALR,BLANC FIXE  MICRO,25 kg bag,25.0,Australia,VIC,30375.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1200.000,0.000,1000.000,1200.000,N1 - Non hazardous/Non dangerous,S,M,VENATOR ASIA SDN BHD ,"DE LANGE, CHRISTO",VENATOR MATERIALS PLC,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,120.00000,730.00000,30,60,180,120,730,625.000,,1,77.97,69.09,3.26,1.00,69.09,425.17,0.00,0.00,425.17,0.00,0.00,29175.000,29175.000,425.17,425.17,0.00,0.0,0.0,Overstock,0.0,61977.47
152221ALR,THERMAX N-990,25 kg bag,25.0,Australia,NSW,2650.000,0.000,0.000,0.000,0.000,6675.000,0.000,0.000,4500.000,6675.000,1125.000,11175.000,N1 - Non hazardous/Non dangerous,S,B,PT PILAR BERSAMA MAJU ,"MERITON, JOHN",CANCARB LTD ,61125 - AU Advanced Materials AM,VIJAYA PAWAR,CA,75.00000,900.00000,30,60,135,75,900,9000.000,,1,52.83,68.84,4.62,0.93,64.03,23.82,0.00,0.00,136.91,0.00,0.00,-8525.000,-625.000,136.91,23.82,3841.80,9000.0,140.56,Healthy,41580.0,0.00
152221ALR,THERMAX N-990,25 kg bag,25.0,Australia,VIC,7900.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,B,PT PILAR BERSAMA MAJU ,"MERITON, JOHN",CANCARB LTD ,61125 - AU Advanced Materials AM,VIJAYA PAWAR,CA,75.00000,900.00000,30,60,135,75,900,9000.000,,1,3.97,68.84,3.16,0.07,4.81,1642.41,0.00,0.00,136.91,0.00,0.00,7900.000,-625.000,136.91,1642.41,0.00,0.0,0.0,Healthy,0.0,0.00
137612ALR,GLUCIDEX IT 12,25 kg bag,25.0,New Zealand,NZ,18450.000,0.000,0.000,0.000,6600.000,22200.000,0.000,6600.000,1800.000,22200.000,1800.000,24000.000,N1 - Non hazardous/Non dangerous,S,M,ROQUETTE SINGAPORE LTD ,MANFRED CHUN,ROQUETTE FRERES ,62123 - NZ Food - Nutrition F&N,"HAN, THIRI",FR,168.00000,1825.00000,30,60,228,168,1825,600.000,,1,86.24,68.79,2.17,1.00,68.79,242.04,0.00,95.94,242.04,0.00,95.94,1050.000,1050.000,337.98,337.98,0.00,0.0,0.0,Overstock,0.0,20895.42
4402121VR,BELGARD EV2050,1140 KG IBC,1140.0,Australia,WA,11400.000,0.000,0.000,9120.000,0.000,13680.000,0.000,9120.000,6840.000,13680.000,0.000,20520.000,D1 - Dangerous & hazardous product,S,C,ITALMATCH CHEMICALS GB LTD ,"SALLAS, FRANK",ITALMATCH CHEMICALS,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",IT,150.00000,999.00000,0,0,0,150,999,0.000,,1,58.88,68.54,7.61,1.00,68.54,166.33,133.06,0.00,166.33,133.06,0.00,0.000,0.000,299.39,299.39,0.00,0.0,0.0,Healthy,0.0,0.00
456154ACR,TENDRA,10 kg bag,10.0,New Zealand,NZ,830.000,0.000,830.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,C,COSUN PROTEIN B.V. ,GWENDOLINE CROTHERS,ROYAL COSUN,62123 - NZ Food - Nutrition F&N,"HAN, THIRI",PL,120.00000,730.00000,0,0,0,120,730,40.000,,1,39.69,68.45,6.70,1.00,68.45,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,0.0,0.00
442149TQR,IMUTHANE PET-95A,204.1 kg drum,204.1,Australia,NSW,10000.900,0.000,0.000,0.000,5714.800,0.000,0.000,5714.800,816.400,0.000,816.400,816.400,N1 - Non hazardous/Non dangerous,S,B,COIM ASIA PACIFIC PTE LTD ,"CIGANKOVA, NIKOLA",COIM GROUP,61125 - AU Advanced Materials AM,VIJAYA PAWAR,US,90.00000,999.00000,30,60,150,90,999,2449.200,,1,83.06,68.31,12.90,0.91,62.12,147.85,0.00,92.00,137.44,0.00,131.47,14899.300,18369.000,268.91,239.85,0.00,0.0,0.0,Overstock,0.0,96041.56
442149TQR,IMUTHANE PET-95A,204.1 kg drum,204.1,Australia,QLD,204.100,0.000,0.000,0.000,3265.600,0.000,0.000,3265.600,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,B,COIM ASIA PACIFIC PTE LTD ,"CIGANKOVA, NIKOLA",COIM GROUP,61125 - AU Advanced Materials AM,VIJAYA PAWAR,US,90.00000,999.00000,30,60,150,90,999,2449.200,,1,8.27,68.31,9.12,0.09,6.19,32.97,0.00,527.56,137.44,0.00,131.47,3469.700,18369.000,268.91,560.53,0.00,0.0,0.0,Overstock,0.0,24869.15
4383002VR,AGSIL 32,1600 kg IBC,1600.0,Australia,VIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D2 - Hazardous but NOT dangerous,S,C,POTTERS INDUSTRIES PTY LTD ,"MOUSAPOUR, PAMMY",POTTERS INDUSTRIES PTY LTD ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",AU,30.00000,365.00000,0,0,0,30,365,1600.000,,1,32.39,68.07,,1.00,68.07,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,,0.00
477390CWR,GUARDMAX ATMP,1250 KG IBC,1250.0,Australia,VIC,28750.000,0.000,0.000,0.000,0.000,16250.000,0.000,0.000,1250.000,16250.000,1250.000,17500.000,D1 - Dangerous & hazardous product,S,A,"SHANDONG TAIHE CHEMICALS CO.,LTD. ","SALLAS, FRANK","SHANDONG TAIHE TECHNOLOGIES CO., LTD. ",61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,365.00000,30,60,135,75,365,5000.000,,1,94.53,67.64,1.65,0.92,62.35,441.06,0.00,0.00,406.56,18.48,0.00,11250.000,12500.000,425.04,441.06,0.00,0.0,0.0,Overstock,0.0,34573.01
477390CWR,GUARDMAX ATMP,1250 KG IBC,1250.0,Australia,QLD,0.000,0.000,0.000,1250.000,0.000,0.000,0.000,1250.000,0.000,0.000,0.000,0.000,D1 - Dangerous & hazardous product,S,A,"SHANDONG TAIHE CHEMICALS CO.,LTD. ","SALLAS, FRANK","SHANDONG TAIHE TECHNOLOGIES CO., LTD. ",61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,365.00000,30,60,135,75,365,5000.000,,1,5.74,67.64,1.88,0.06,3.79,0.00,329.82,0.00,406.56,18.48,0.00,1250.000,12500.000,425.04,329.82,0.00,0.0,0.0,Overstock,0.0,1601.89
477390CWR,GUARDMAX ATMP,1250 KG IBC,1250.0,Australia,SA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,D1 - Dangerous & hazardous product,S,A,"SHANDONG TAIHE CHEMICALS CO.,LTD. ","SALLAS, FRANK","SHANDONG TAIHE TECHNOLOGIES CO., LTD. ",61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,365.00000,30,60,135,75,365,5000.000,,1,2.28,67.64,1.53,0.02,1.50,0.00,0.00,0.00,406.56,18.48,0.00,0.000,12500.000,425.04,0.00,0.00,0.0,0.0,Overstock,0.0,-240.98
477390CWR,GUARDMAX ATMP,1250 KG IBC,1250.0,Australia,NSW,2500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2500.000,0.000,2500.000,2500.000,D1 - Dangerous & hazardous product,S,A,"SHANDONG TAIHE CHEMICALS CO.,LTD. ","SALLAS, FRANK","SHANDONG TAIHE TECHNOLOGIES CO., LTD. ",61121 - AU Home Care I&I HC,"MICHALIK, KYAN",CN,75.00000,365.00000,30,60,135,75,365,5000.000,,1,0.00,67.64,2.00,0.00,0.00,0.00,0.00,0.00,406.56,18.48,0.00,0.000,12500.000,425.04,0.00,0.00,0.0,0.0,Overstock,0.0,0.00
296567ALR,PEB 3313,25 kg bag,25.0,New Zealand,NZ,13750.000,0.000,25.000,0.000,0.000,13750.000,0.000,0.000,0.000,13750.000,0.000,13750.000,N1 - Non hazardous/Non dangerous,S,M,HUBRON INTERNATIONAL LTD ,"MERITON, JOHN",OBG PHARMACEUTICALS LTD,62125 - NZ Advanced Materials AM,VIJAYA PAWAR,GB,120.00000,999.00000,30,60,180,120,999,1250.000,50.0000,1,42.27,66.81,6.46,1.00,66.81,205.43,0.00,0.00,205.43,0.00,0.00,-25.000,-25.000,205.43,205.43,0.00,0.0,0.0,Healthy,0.0,0.00
439409AIR,CONTEX 50 IP,20 kg bag,20.0,Australia,VIC,880.000,0.000,0.000,0.000,12360.000,4960.000,0.000,12360.000,1880.000,4960.000,880.000,6840.000,N1 - Non hazardous/Non dangerous,S,M,SOLBAR NINGBO PROTEIN TECHNOLOGY CO LTD ,TANYA HARVEY,SHANDONG WONDERFUL INDUSTRIAL GROUP CO,61123 - AU Food - Nutrition F&N,"HAN, THIRI",CN,90.00000,313.00000,30,60,150,90,313,640.000,,6400,68.40,66.62,3.52,1.00,66.62,0.00,0.00,185.53,0.00,0.00,185.53,6400.000,6400.000,185.53,185.53,0.00,0.0,0.0,High Stock,0.0,0.00
197133ZGR,ZEMEA PROPANEDIOL,"997,9 kg Container",997.9,Australia,VIC,5987.400,0.000,0.000,3991.600,13970.600,2993.700,0.000,17962.200,4989.500,2993.700,0.000,7983.200,N1 - Non hazardous/Non dangerous,S,B,PRIMIENT COVATION LLC. ,"POWER, CARMEL",PRIMARY PRODUCTS BIOPDO LLC ,61128 - AU Beauty & Personal Care BPC,SCOTT JOHNSON,US,150.00000,730.00000,30,60,210,150,730,798.320,,1,55.21,66.33,5.64,0.82,54.55,109.76,73.17,256.11,90.27,60.18,210.62,15966.400,15966.400,361.07,439.04,0.00,0.0,0.0,Overstock,0.0,79696.76
